pr,number,open,additions
pr,34109,2016-06-06T15:00:27Z,103
pr,34109,2016-06-06T15:00:27Z,74
pr,34110,2016-06-06T15:08:53Z,538
pr,34110,2016-06-06T15:08:53Z,538
pr,34112,2016-06-06T15:10:11Z,260
pr,34112,2016-06-06T15:10:11Z,260
pr,34113,2016-06-06T15:11:07Z,932
pr,34113,2016-06-06T15:11:07Z,253
pr,34114,2016-06-06T15:12:29Z,214
pr,34114,2016-06-06T15:12:29Z,214
pr,34118,2016-06-06T17:45:56Z,71
pr,34118,2016-06-06T17:45:56Z,69
pr,34120,2016-06-06T19:44:53Z,1
pr,34124,2016-06-06T21:45:46Z,0
pr,34124,2016-06-06T21:45:46Z,0
pr,34125,2016-06-06T22:33:20Z,4
pr,34125,2016-06-06T22:33:20Z,4
pr,34128,2016-06-06T23:29:30Z,33
pr,34128,2016-06-06T23:29:30Z,28
pr,34129,2016-06-06T23:53:54Z,8
pr,34129,2016-06-06T23:53:54Z,8
pr,34130,2016-06-07T00:33:11Z,4
pr,34132,2016-06-07T06:10:38Z,20
pr,34132,2016-06-07T06:10:38Z,3
pr,34133,2016-06-07T07:59:24Z,100
pr,34133,2016-06-07T07:59:24Z,45
pr,34134,2016-06-07T09:34:21Z,4
pr,34136,2016-06-07T10:39:26Z,27
pr,34136,2016-06-07T10:39:26Z,27
pr,34138,2016-06-07T13:37:04Z,3
pr,34139,2016-06-07T14:43:59Z,483
pr,34140,2016-06-07T14:50:47Z,540
pr,34140,2016-06-07T14:50:47Z,192
pr,34141,2016-06-07T15:31:06Z,137
pr,34143,2016-06-07T16:42:54Z,20
pr,34143,2016-06-07T16:42:54Z,20
pr,34143,2016-06-07T16:42:54Z,20
pr,34145,2016-06-07T17:27:40Z,1
pr,34145,2016-06-07T17:27:40Z,1
pr,34145,2016-06-07T17:27:40Z,1
pr,34146,2016-06-07T17:59:00Z,5
pr,34146,2016-06-07T17:59:00Z,5
pr,34147,2016-06-07T17:59:52Z,87
pr,34147,2016-06-07T17:59:52Z,87
pr,34148,2016-06-07T18:00:19Z,2
pr,34148,2016-06-07T18:00:19Z,2
pr,34149,2016-06-07T19:03:36Z,1262
pr,34149,2016-06-07T19:03:36Z,921
pr,34153,2016-06-07T21:37:29Z,4
pr,34153,2016-06-07T21:37:29Z,4
pr,34155,2016-06-07T22:52:19Z,0
pr,34155,2016-06-07T22:52:19Z,0
pr,34159,2016-06-08T09:29:05Z,2
pr,34159,2016-06-08T09:29:05Z,2
pr,34160,2016-06-08T12:46:45Z,4
pr,34160,2016-06-08T12:46:45Z,4
pr,34161,2016-06-08T13:38:11Z,6
pr,34161,2016-06-08T13:38:11Z,7
pr,34164,2016-06-08T18:11:33Z,1098
pr,34164,2016-06-08T18:11:33Z,1066
pr,34165,2016-06-08T18:30:31Z,15
pr,34165,2016-06-08T18:30:31Z,15
pr,34167,2016-06-08T21:31:48Z,20
pr,34169,2016-06-08T23:53:58Z,871
pr,34169,2016-06-08T23:53:58Z,2735
pr,34172,2016-06-09T00:42:00Z,28
pr,34172,2016-06-09T00:42:00Z,28
pr,34173,2016-06-09T02:43:05Z,14
pr,34173,2016-06-09T02:43:05Z,0
pr,34174,2016-06-09T02:48:04Z,1
pr,34174,2016-06-09T02:48:04Z,26
pr,34175,2016-06-09T03:32:41Z,1
pr,34175,2016-06-09T03:32:41Z,1
pr,34178,2016-06-09T13:52:04Z,5
pr,34178,2016-06-09T13:52:04Z,4
pr,34180,2016-06-09T14:52:43Z,5
pr,34180,2016-06-09T14:52:43Z,212
pr,34181,2016-06-09T17:10:37Z,1
pr,34181,2016-06-09T17:10:37Z,6
pr,34184,2016-06-09T19:06:01Z,6
pr,34184,2016-06-09T19:06:01Z,5
pr,34185,2016-06-09T21:24:25Z,4
pr,34185,2016-06-09T21:24:25Z,4
pr,34186,2016-06-09T22:37:08Z,63
pr,34186,2016-06-09T22:37:08Z,40
pr,34187,2016-06-09T22:40:30Z,95
pr,34187,2016-06-09T22:40:30Z,100
pr,34189,2016-06-09T22:47:03Z,497
pr,34189,2016-06-09T22:47:03Z,476
pr,34190,2016-06-09T22:52:07Z,28
pr,34190,2016-06-09T22:52:07Z,28
pr,34190,2016-06-09T22:52:07Z,28
pr,34192,2016-06-09T23:05:35Z,35
pr,34192,2016-06-09T23:05:35Z,35
pr,34193,2016-06-09T23:43:32Z,127
pr,34193,2016-06-09T23:43:32Z,6
pr,34195,2016-06-10T04:08:54Z,136
pr,34195,2016-06-10T04:08:54Z,136
pr,34196,2016-06-10T08:14:18Z,471
pr,34198,2016-06-10T09:53:12Z,153
pr,34198,2016-06-10T09:53:12Z,26
pr,34198,2016-06-10T09:53:12Z,31
pr,34198,2016-06-10T09:53:12Z,31
pr,34199,2016-06-10T10:48:04Z,12
pr,34200,2016-06-10T12:16:47Z,349
pr,34201,2016-06-10T13:12:59Z,1
pr,34201,2016-06-10T13:12:59Z,1
pr,34204,2016-06-10T15:22:48Z,53
pr,34204,2016-06-10T15:22:48Z,57
pr,34206,2016-06-10T20:32:20Z,54
pr,34206,2016-06-10T20:32:20Z,101
pr,34207,2016-06-10T21:41:24Z,13
pr,34207,2016-06-10T21:41:24Z,13
pr,34208,2016-06-10T22:29:28Z,32
pr,34208,2016-06-10T22:29:28Z,32
pr,34210,2016-06-10T22:56:45Z,0
pr,34210,2016-06-10T22:56:45Z,0
pr,34211,2016-06-10T23:44:42Z,178
pr,34211,2016-06-10T23:44:42Z,178
pr,34213,2016-06-11T01:05:31Z,251
pr,34213,2016-06-11T01:05:31Z,238
pr,34214,2016-06-11T03:47:50Z,989
pr,34214,2016-06-11T03:47:50Z,989
pr,34216,2016-06-11T05:31:21Z,15
pr,34216,2016-06-11T05:31:21Z,15
pr,34218,2016-06-11T13:40:56Z,30
pr,34218,2016-06-11T13:40:56Z,30
pr,34219,2016-06-11T13:41:44Z,314
pr,34219,2016-06-11T13:41:44Z,680
pr,34220,2016-06-11T13:42:20Z,38
pr,34220,2016-06-11T13:42:20Z,38
pr,34221,2016-06-11T15:30:46Z,1
pr,34226,2016-06-11T16:59:31Z,18
pr,34226,2016-06-11T16:59:31Z,18
pr,34230,2016-06-11T21:44:55Z,46
pr,34230,2016-06-11T21:44:55Z,37
pr,34232,2016-06-11T22:53:49Z,48
pr,34234,2016-06-11T23:22:41Z,5
pr,34236,2016-06-12T02:10:36Z,31
pr,34236,2016-06-12T02:10:36Z,31
pr,34238,2016-06-12T03:31:49Z,2
pr,34239,2016-06-12T05:52:09Z,91
pr,34239,2016-06-12T05:52:09Z,92
pr,34241,2016-06-12T15:08:52Z,33
pr,34242,2016-06-12T20:01:55Z,45
pr,34242,2016-06-12T20:01:55Z,45
pr,34243,2016-06-12T21:22:18Z,23
pr,34243,2016-06-12T21:22:18Z,24
pr,34245,2016-06-12T22:01:06Z,42
pr,34245,2016-06-12T22:01:06Z,40
pr,34247,2016-06-12T23:06:44Z,1
pr,34247,2016-06-12T23:06:44Z,1
pr,34251,2016-06-13T01:48:47Z,19
pr,34251,2016-06-13T01:48:47Z,18
pr,34252,2016-06-13T07:15:20Z,24
pr,34253,2016-06-13T08:07:04Z,77
pr,34253,2016-06-13T08:07:04Z,77
pr,34254,2016-06-13T08:08:03Z,3
pr,34254,2016-06-13T08:08:03Z,3
pr,34258,2016-06-13T17:23:49Z,63
pr,34258,2016-06-13T17:23:49Z,46
pr,34259,2016-06-13T18:44:28Z,1
pr,34262,2016-06-13T21:53:11Z,16
pr,34263,2016-06-13T22:57:50Z,35
pr,34263,2016-06-13T22:57:50Z,35
pr,34268,2016-06-14T07:18:53Z,101
pr,34270,2016-06-14T09:05:10Z,12
pr,34272,2016-06-14T10:19:27Z,113
pr,34287,2016-06-15T20:35:07Z,13
pr,34287,2016-06-15T20:35:07Z,2
pr,34288,2016-06-15T20:48:33Z,1
pr,34290,2016-06-15T21:26:40Z,15
pr,34290,2016-06-15T21:26:40Z,8
pr,34291,2016-06-15T21:59:21Z,126
pr,34291,2016-06-15T21:59:21Z,141
pr,34292,2016-06-15T22:58:20Z,158
pr,34292,2016-06-15T22:58:20Z,158
pr,34294,2016-06-16T02:49:58Z,7
pr,34295,2016-06-16T07:31:32Z,25
pr,34295,2016-06-16T07:31:32Z,24
pr,34296,2016-06-16T09:02:48Z,44
pr,34298,2016-06-16T10:29:40Z,127
pr,34298,2016-06-16T10:29:40Z,127
pr,34302,2016-06-16T12:41:08Z,21
pr,34302,2016-06-16T12:41:08Z,21
pr,34305,2016-06-16T14:03:20Z,11
pr,34305,2016-06-16T14:03:20Z,36
pr,34306,2016-06-16T14:31:27Z,27
pr,34306,2016-06-16T14:31:27Z,27
pr,34307,2016-06-16T16:49:55Z,30
pr,34307,2016-06-16T16:49:55Z,30
pr,34309,2016-06-16T18:13:59Z,1
pr,34310,2016-06-16T19:53:21Z,55
pr,34310,2016-06-16T19:53:21Z,53
pr,34312,2016-06-16T20:17:54Z,859
pr,34312,2016-06-16T20:17:54Z,859
pr,34313,2016-06-16T21:11:48Z,29
pr,34313,2016-06-16T21:11:48Z,29
pr,34314,2016-06-16T21:22:47Z,9
pr,34314,2016-06-16T21:22:47Z,9
pr,34315,2016-06-16T23:12:05Z,1037
pr,34315,2016-06-16T23:12:05Z,1037
pr,34316,2016-06-17T03:26:20Z,332
pr,34316,2016-06-17T03:26:20Z,324
pr,34317,2016-06-17T04:00:24Z,32
pr,34319,2016-06-17T07:13:05Z,98
pr,34319,2016-06-17T07:13:05Z,105
pr,34320,2016-06-17T07:46:21Z,1
pr,34320,2016-06-17T07:46:21Z,1
pr,34322,2016-06-17T10:09:01Z,3
pr,34323,2016-06-17T10:47:41Z,1
pr,34323,2016-06-17T10:47:41Z,1
pr,34327,2016-06-17T14:14:16Z,9
pr,34328,2016-06-17T14:54:45Z,2
pr,34328,2016-06-17T14:54:45Z,2
pr,34335,2016-06-17T22:54:09Z,6
pr,34335,2016-06-17T22:54:09Z,6
pr,34336,2016-06-18T00:05:39Z,19
pr,34336,2016-06-18T00:05:39Z,19
pr,34339,2016-06-18T06:55:35Z,278
pr,34339,2016-06-18T06:55:35Z,266
pr,34340,2016-06-18T08:53:26Z,1
pr,34340,2016-06-18T08:53:26Z,1
pr,34342,2016-06-18T13:57:59Z,1
pr,34343,2016-06-18T14:01:10Z,136
pr,34343,2016-06-18T14:01:10Z,136
pr,34345,2016-06-18T17:59:38Z,67
pr,34345,2016-06-18T17:59:38Z,67
pr,34348,2016-06-18T18:57:54Z,21
pr,34348,2016-06-18T18:57:54Z,21
pr,34350,2016-06-18T22:32:07Z,14
pr,34350,2016-06-18T22:32:07Z,14
pr,34351,2016-06-18T22:46:06Z,18
pr,34351,2016-06-18T22:46:06Z,18
pr,34355,2016-06-19T02:16:17Z,12
pr,34355,2016-06-19T02:16:17Z,11
pr,34356,2016-06-19T08:59:39Z,30
pr,34356,2016-06-19T08:59:39Z,32
pr,34357,2016-06-19T09:47:22Z,27
pr,34357,2016-06-19T09:47:22Z,32
pr,34358,2016-06-19T11:13:14Z,66
pr,34358,2016-06-19T11:13:14Z,188
pr,34360,2016-06-19T12:31:23Z,1
pr,34360,2016-06-19T12:31:23Z,1
pr,34363,2016-06-19T14:00:39Z,4
pr,34363,2016-06-19T14:00:39Z,40
pr,34364,2016-06-19T15:28:55Z,20
pr,34364,2016-06-19T15:28:55Z,25
pr,34365,2016-06-19T17:07:43Z,646
pr,34365,2016-06-19T17:07:43Z,644
pr,34366,2016-06-19T17:50:08Z,24
pr,34366,2016-06-19T17:50:08Z,237
pr,34367,2016-06-19T17:52:01Z,8
pr,34367,2016-06-19T17:52:01Z,20
pr,34368,2016-06-19T18:56:05Z,21
pr,34368,2016-06-19T18:56:05Z,24
pr,34369,2016-06-19T20:19:48Z,3
pr,34369,2016-06-19T20:19:48Z,3
pr,34370,2016-06-19T20:29:24Z,5
pr,34370,2016-06-19T20:29:24Z,5
pr,34371,2016-06-19T21:52:04Z,31
pr,34371,2016-06-19T21:52:04Z,31
pr,34372,2016-06-19T22:44:11Z,5
pr,34372,2016-06-19T22:44:11Z,5
pr,34374,2016-06-20T03:22:09Z,25
pr,34374,2016-06-20T03:22:09Z,163
pr,34378,2016-06-20T08:05:40Z,13
pr,34378,2016-06-20T08:05:40Z,13
pr,34379,2016-06-20T08:19:58Z,9
pr,34379,2016-06-20T08:19:58Z,11
pr,34380,2016-06-20T10:32:12Z,3
pr,34380,2016-06-20T10:32:12Z,3
pr,34383,2016-06-20T17:05:32Z,0
pr,34383,2016-06-20T17:05:32Z,0
pr,34385,2016-06-20T18:20:58Z,315
pr,34385,2016-06-20T18:20:58Z,342
pr,34387,2016-06-20T21:24:33Z,83
pr,34387,2016-06-20T21:24:33Z,83
pr,34389,2016-06-20T22:33:12Z,38
pr,34389,2016-06-20T22:33:12Z,5
pr,34391,2016-06-21T02:20:55Z,2
pr,34391,2016-06-21T02:20:55Z,2
pr,34394,2016-06-21T08:09:26Z,16
pr,34394,2016-06-21T08:09:26Z,16
pr,34397,2016-06-21T10:38:17Z,82
pr,34397,2016-06-21T10:38:17Z,13
pr,34399,2016-06-21T17:16:12Z,26
pr,34399,2016-06-21T17:16:12Z,26
pr,34401,2016-06-21T21:53:24Z,59
pr,34401,2016-06-21T21:53:24Z,59
pr,34402,2016-06-21T21:54:29Z,85
pr,34402,2016-06-21T21:54:29Z,85
pr,34403,2016-06-21T22:20:28Z,1388
pr,34403,2016-06-21T22:20:28Z,2326
pr,34404,2016-06-21T22:42:42Z,1
pr,34404,2016-06-21T22:42:42Z,1
pr,34406,2016-06-22T01:41:29Z,13
pr,34406,2016-06-22T01:41:29Z,13
pr,34408,2016-06-22T08:51:09Z,188
pr,34410,2016-06-22T12:24:34Z,4
pr,34410,2016-06-22T12:24:34Z,4
pr,34411,2016-06-22T13:10:25Z,1
pr,34411,2016-06-22T13:10:25Z,1
pr,34412,2016-06-22T14:48:37Z,1013
pr,34414,2016-06-22T20:20:38Z,1
pr,34414,2016-06-22T20:20:38Z,1
pr,34414,2016-06-22T20:20:38Z,1
pr,34415,2016-06-22T22:38:24Z,20
pr,34415,2016-06-22T22:38:24Z,20
pr,34419,2016-06-23T00:35:22Z,34
pr,34419,2016-06-23T00:35:22Z,34
pr,34420,2016-06-23T01:36:14Z,55
pr,34420,2016-06-23T01:36:14Z,49
pr,34422,2016-06-23T05:55:09Z,4
pr,34422,2016-06-23T05:55:09Z,4
pr,34424,2016-06-23T07:10:15Z,3969
pr,34424,2016-06-23T07:10:15Z,3657
pr,34425,2016-06-23T10:27:45Z,15
pr,34425,2016-06-23T10:27:45Z,15
pr,34435,2016-06-23T18:35:50Z,1
pr,34435,2016-06-23T18:35:50Z,1
pr,34435,2016-06-23T18:35:50Z,1
pr,34436,2016-06-23T21:08:45Z,157
pr,34436,2016-06-23T21:08:45Z,144
pr,34438,2016-06-23T22:16:57Z,30
pr,34438,2016-06-23T22:16:57Z,6
pr,34439,2016-06-23T22:30:09Z,33
pr,34439,2016-06-23T22:30:09Z,33
pr,34440,2016-06-23T22:39:50Z,19
pr,34440,2016-06-23T22:39:50Z,19
pr,34441,2016-06-23T22:46:59Z,30
pr,34441,2016-06-23T22:46:59Z,4
pr,34442,2016-06-24T00:18:19Z,3
pr,34442,2016-06-24T00:18:19Z,3
pr,34443,2016-06-24T00:28:11Z,44
pr,34445,2016-06-24T03:04:51Z,2
pr,34445,2016-06-24T03:04:51Z,2
pr,34446,2016-06-24T03:40:02Z,53
pr,34446,2016-06-24T03:40:02Z,53
pr,34449,2016-06-24T11:18:15Z,116
pr,34449,2016-06-24T11:18:15Z,135
pr,34450,2016-06-24T11:48:57Z,36
pr,34450,2016-06-24T11:48:57Z,36
pr,34452,2016-06-24T12:19:55Z,3
pr,34452,2016-06-24T12:19:55Z,3
pr,34453,2016-06-24T14:16:37Z,18
pr,34453,2016-06-24T14:16:37Z,17
pr,34453,2016-06-24T14:16:37Z,17
pr,34456,2016-06-24T18:55:30Z,32
pr,34459,2016-06-24T22:11:23Z,121
pr,34459,2016-06-24T22:11:23Z,154
pr,34460,2016-06-24T22:16:57Z,11
pr,34460,2016-06-24T22:16:57Z,11
pr,34461,2016-06-24T22:29:09Z,29
pr,34461,2016-06-24T22:29:09Z,31
pr,34462,2016-06-25T00:04:29Z,1
pr,34462,2016-06-25T00:04:29Z,1
pr,34463,2016-06-25T00:09:52Z,115
pr,34463,2016-06-25T00:09:52Z,18
pr,34464,2016-06-25T08:46:21Z,181
pr,34465,2016-06-25T11:22:47Z,15
pr,34467,2016-06-25T12:23:09Z,207
pr,34467,2016-06-25T12:23:09Z,207
pr,34468,2016-06-25T13:27:23Z,15
pr,34468,2016-06-25T13:27:23Z,15
pr,34469,2016-06-25T14:05:49Z,4
pr,34469,2016-06-25T14:05:49Z,4
pr,34470,2016-06-25T14:41:24Z,97
pr,34471,2016-06-25T16:26:42Z,15
