open,effort,label
2018-03-22T09:51:42Z,2686,S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;T-libs;relnotes
2018-03-22T10:56:51Z,0,NULL
2018-03-22T11:59:08Z,45,NULL
2018-03-22T13:45:19Z,21,A-macros;C-bug;I-ICE;regression-from-stable-to-beta;regression-from-stable-to-nightly;A-macros;A-metadata;T-compiler;A-macros;A-metadata;T-compiler;A-macros;C-bug;I-ICE;regression-from-stable-to-beta;regression-from-stable-to-nightly
2018-03-22T14:16:39Z,102,I-slow;WG-compiler-performance;I-slow;WG-compiler-performance
2018-03-22T16:40:19Z,26,NULL
2018-03-22T18:17:01Z,230,NULL
2018-03-22T21:32:27Z,54,A-rustbuild;C-enhancement;T-infra;A-rustbuild;C-enhancement;T-infra
2018-03-23T00:00:14Z,5,NULL
2018-03-23T03:23:38Z,129,NULL
2018-03-23T03:52:10Z,104,NULL
2018-03-23T06:44:55Z,30,NULL
2018-03-23T08:35:31Z,299,S-waiting-on-review;T-compiler;T-libs
2018-03-23T10:53:25Z,197,B-RFC-approved;T-lang
2018-03-23T12:32:59Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-23T13:38:10Z,155,S-waiting-on-review;S-waiting-on-review
2018-03-23T13:41:32Z,370,B-RFC-approved;T-libs;B-RFC-approved;T-libs
2018-03-23T13:53:15Z,0,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-23T14:27:29Z,3685,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-23T18:56:22Z,6,A-build;A-rustbuild;WG-infra-rustbuild
2018-03-23T20:27:45Z,7,A-rustdoc;A-rustdoc
2018-03-23T20:37:17Z,341,S-waiting-on-author;S-waiting-on-author
2018-03-23T21:09:03Z,1622,NULL
2018-03-23T21:40:42Z,154,NULL
2018-03-23T22:05:47Z,0,NULL
2018-03-24T01:20:44Z,0,B-RFC-approved;C-tracking-issue;T-libs;B-RFC-approved;C-tracking-issue;T-libs
2018-03-24T10:18:45Z,32,S-waiting-on-review;C-enhancement;S-waiting-on-review;T-doc;S-waiting-on-review;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;relnotes;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-24T10:25:44Z,0,NULL
2018-03-24T14:07:44Z,6,S-waiting-on-bors;beta-nominated;T-compiler;beta-nominated;S-waiting-on-bors;beta-nominated
2018-03-24T14:43:02Z,25,NULL
2018-03-24T15:38:53Z,40,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;C-enhancement;S-waiting-on-review;T-doc;S-waiting-on-bors;S-waiting-on-review;S-waiting-on-bors;beta-nominated;S-waiting-on-review;S-waiting-on-review;relnotes;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
2018-03-24T17:26:49Z,3541,A-rustbuild;T-infra;A-rustbuild;T-infra
2018-03-24T20:47:02Z,15,NULL
2018-03-24T22:41:33Z,82,NULL
2018-03-24T23:54:59Z,55,A-NLL;I-needs-decision;WG-compiler-nll;A-NLL;I-needs-decision;WG-compiler-nll
2018-03-25T03:32:05Z,212,NULL
2018-03-25T04:23:32Z,609,S-waiting-on-review
2018-03-25T11:32:53Z,2257,NULL
2018-03-25T17:46:27Z,9,S-waiting-on-review;S-waiting-on-review
2018-03-25T21:09:51Z,0,A-associated-items;A-stability;A-associated-items;A-stability
2018-03-25T21:43:36Z,37,NULL
2018-03-26T03:03:12Z,175,S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review;S-waiting-on-review
