survived,year of survival,num_easy_y1,effort_y1
0,0,1,12
0,0,0,6
1,2018,0,238
0,0,0,51
1,2015,0,12
1,2017,0,2
0,0,0,20
1,2019,0,163
0,0,0,84
0,0,0,2
0,0,0,145
0,0,0,2
1,2014,0,9741
1,2015,5,6810
0,0,0,347
0,0,0,88
0,0,0,97
0,0,0,3
0,0,0,8
0,0,0,5
0,0,0,2
0,0,0,7
0,0,0,357
0,0,0,5
0,0,0,16
0,0,0,4
1,2017,1,30
0,0,0,13
0,0,0,2
0,0,0,2
0,0,0,2
1,2014,0,2427
1,2013,0,7
0,0,0,2
1,2016,0,19
0,0,0,47
0,0,0,24
0,0,0,3635
0,0,3,566
0,0,3,51
0,0,0,6
0,0,0,229
1,2015,0,71
0,0,1,88
0,0,0,2
0,0,0,21
0,0,0,33
0,0,0,16
0,0,0,2
1,2016,2,37
0,0,0,13530
0,0,0,1
0,0,0,4
0,0,0,6
0,0,0,2
1,2015,0,44517
0,0,0,6
0,0,0,108
0,0,0,265
1,2016,0,16
0,0,0,62
0,0,0,7
1,2015,0,1128
0,0,0,36
0,0,0,9
0,0,0,69
0,0,0,4
0,0,0,2
0,0,0,2
1,2018,0,434
0,0,0,157
0,0,1,464
0,0,0,26
1,2012,0,45
0,0,0,8
1,2014,0,788
0,0,0,506
1,2019,0,2
0,0,0,9
0,0,0,14
0,0,1,10
0,0,0,7
1,2016,34,2701
0,0,0,14
1,2015,0,8
0,0,0,2
0,0,0,1322
0,0,0,38
1,2015,0,10
0,0,0,4
0,0,16,2352
0,0,3,35
0,0,0,27
0,0,0,16
0,0,0,167
0,0,0,4
0,0,0,2
0,0,1,4
0,0,0,2
0,0,0,14
0,0,0,8
1,2014,0,2743
0,0,0,2
0,0,0,11
0,0,0,136
0,0,0,369
0,0,0,3
1,2016,5,75
0,0,0,174
0,0,0,4
0,0,0,60
0,0,3,519
0,0,1,82
0,0,0,14
0,0,0,6
1,2015,0,425
0,0,0,26
1,2015,0,2
0,0,0,2
0,0,0,268
1,2015,0,401
0,0,12,176
1,2015,0,8
0,0,0,2
1,2014,0,3
0,0,0,2
0,0,0,14
0,0,0,4
1,2012,0,492
0,0,0,2
0,0,0,2
1,2015,0,8
0,0,0,9114
0,0,2,2030
0,0,0,2
0,0,0,524
0,0,0,2
0,0,0,9
0,0,0,195
0,0,0,61
0,0,0,232
0,0,0,57
0,0,0,321
0,0,0,4
0,0,0,66
0,0,0,38
0,0,0,51
0,0,0,2
0,0,0,28
0,0,0,2
0,0,0,2
1,2017,0,87
0,0,0,6
0,0,0,770
0,0,0,22
0,0,0,3
0,0,0,388
0,0,0,3380
1,2016,0,791
1,2016,0,2
0,0,0,2
0,0,0,98
0,0,1,14
0,0,0,2
0,0,0,38
0,0,0,60
0,0,0,29
0,0,0,367
0,0,0,85
0,0,0,2
