effort_y2,year of survival,num_easy_y1,effort_y1
0,0,0,72
13,2013,0,300
0,0,0,14
0,0,0,2
0,0,0,62
0,0,0,67
0,0,0,27
3188,2015,0,105
0,0,0,2
0,0,0,312
0,0,0,315
0,0,0,72
0,0,7,146
0,0,0,276
0,0,0,54
0,0,0,9612
0,0,0,2
0,0,0,365
0,0,0,2
2066,2018,9,1660
0,0,0,6
0,0,0,2
0,0,0,22
0,0,9,1301
785,2015,2,1225
0,0,0,201
0,0,0,320
2,2014,0,15
0,0,0,2
1689,2018,10,1681
0,0,0,6
0,0,0,4
0,0,0,5777
20,2016,0,434
0,0,0,89
0,0,0,2
0,0,1,160
0,0,0,221
5545,2019,0,1600
1917,2018,0,402
0,0,0,112
0,0,0,17
0,0,0,17
0,0,0,7
0,0,1,20
0,0,0,2
1,2018,2,3154
0,0,0,4
0,0,0,6
0,0,3,490
0,0,0,24
0,0,0,2
0,0,3,151
0,0,0,262
0,0,0,2
202,2015,0,7
100,2019,0,21
0,0,0,742
0,0,0,2
0,0,0,132
0,0,0,77
0,0,0,2
0,0,0,8
0,0,0,2
253,2016,1,175
0,0,0,12
0,0,1,32
0,0,1,2
0,0,0,99
0,0,0,11
0,0,0,2
0,0,0,1375
0,0,0,10
0,0,1,93
0,0,1,16
0,0,3,917
0,0,0,8
126231,2013,0,24
0,0,0,40
0,0,0,4
0,0,0,4
40,2016,1,214
0,0,0,463
0,0,0,12
0,0,0,2
0,0,0,12
0,0,0,1243
0,0,1,4
0,0,2,6
0,0,0,9
0,0,0,42
0,0,0,21
0,0,0,2
2405,2014,0,1372
16,2018,0,14
0,0,0,136
0,0,0,22
0,0,3,165
0,0,2,134
456,2013,0,83
0,0,0,377
0,0,0,2
2,2017,0,52
0,0,0,43
0,0,0,9
8358,2015,0,1903
0,0,4,2789
0,0,8,193
0,0,0,2
0,0,0,2
0,0,0,168
0,0,0,4
0,0,0,10
116,2015,0,36
0,0,0,66
0,0,0,196
6130,2015,0,559
0,0,0,50
0,0,0,439
0,0,4,17496
0,0,0,2
0,0,0,18
139,2019,0,1245
0,0,0,45
0,0,0,4
25,2015,0,34
0,0,0,43
0,0,0,4
0,0,0,26
0,0,0,2
0,0,0,41
0,0,0,2
0,0,0,2
0,0,0,3
0,0,0,8
0,0,1,110
0,0,2,115
0,0,4,57
0,0,0,2
0,0,0,110
36230,2017,0,802
0,0,1,59
0,0,2,12
0,0,0,60
4326,2013,0,36
0,0,0,6
0,0,0,8
0,0,2,98
12,2017,2,16
0,0,0,29
170,2014,0,954
79,2016,0,8
0,0,0,2
0,0,0,21
0,0,0,247
34,2014,0,2240
217073,2019,0,62
0,0,0,56
0,0,0,18
0,0,0,5
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,15
0,0,0,785
0,0,0,6
0,0,0,34
0,0,3,49
0,0,2,20
0,0,0,108
0,0,0,311
201,2015,0,9
0,0,0,14
0,0,0,2
0,0,2,24
0,0,0,814
198,2016,1,811
0,0,0,10
0,0,0,2
0,0,0,50
0,0,0,12
0,0,0,314
0,0,0,1
0,0,0,4
0,0,0,28
0,0,0,345
0,0,0,21
0,0,0,39
0,0,0,25
0,0,0,3
133,2018,0,296
0,0,1,4
0,0,0,127
0,0,0,178
0,0,0,2
0,0,1,63
0,0,0,89
0,0,0,11
0,0,1,51
421,2014,0,26
0,0,2,46
0,0,0,162
79,2016,1,10
0,0,0,45
0,0,1,2154
0,0,0,5
0,0,1,2
0,0,0,9
0,0,0,78
0,0,0,7
0,0,0,2
0,0,3,43
0,0,0,240
561,2014,0,559
0,0,1,51
15,2016,0,2
0,0,2,31
0,0,1,39
0,0,1,42
0,0,1,6
0,0,2,5
429,2015,0,12
0,0,0,2
0,0,0,31
0,0,0,2
0,0,3,226
0,0,0,14
0,0,0,12
19,2016,0,110
18,2016,0,15
0,0,0,150
0,0,0,16
0,0,0,113
21470,2014,0,10818
0,0,0,30
0,0,0,2
0,0,0,8
0,0,0,4
0,0,0,12
0,0,0,538
0,0,0,65
125,2016,1,1673
46,2014,0,970
0,0,0,572
0,0,0,732
2,2016,0,31
0,0,0,4
0,0,0,2
0,0,0,25
0,0,0,4
0,0,0,4
0,0,0,18
0,0,0,2
0,0,0,20
0,0,1,6
0,0,0,70
491,2015,0,12316
0,0,0,4160
6,2017,0,73
0,0,0,16
0,0,2,20
0,0,0,77
0,0,0,2
0,0,0,5
0,0,0,4
0,0,0,2585
0,0,0,3
0,0,0,4
0,0,0,4
0,0,1,19
162,2015,0,545
0,0,0,42
0,0,1,2
0,0,0,470
0,0,0,146
12643,2018,0,2292
0,0,0,14
0,0,0,2
0,0,0,3223
0,0,0,4
0,0,0,10
0,0,0,4
0,0,0,7
0,0,0,2
0,0,0,1
470,2014,0,3999
0,0,0,2
0,0,3,83
0,0,1,36
0,0,0,1113
15,2016,0,2
0,0,0,8
0,0,0,169
0,0,0,246
0,0,2,4348
39,2017,0,151
0,0,2,165
0,0,0,9
0,0,0,26
1487,2015,0,5526
0,0,0,11
0,0,0,6
0,0,0,25
0,0,0,2
0,0,0,40
0,0,3,105
9,2017,2,13
2,2016,0,30
0,0,0,18
0,0,1,13
557,2015,2,867
0,0,0,25
0,0,0,2
0,0,0,184
0,0,0,8
300,2016,0,367
0,0,0,1
0,0,0,3
0,0,0,10
0,0,0,202
0,0,0,109
176,2017,0,560
0,0,0,915
0,0,0,17
21,2015,0,319
0,0,0,61
0,0,2,24
0,0,0,99
0,0,0,102
0,0,0,2
0,0,0,12
0,0,0,66
0,0,0,6
0,0,1,17
29,2015,0,44
0,0,0,16
0,0,0,3
0,0,0,33
0,0,0,6
0,0,0,46
0,0,1,2
0,0,1,30
0,0,0,3
1215,2016,1,5973
0,0,0,103
0,0,0,4
0,0,0,26
0,0,0,80
0,0,0,6
195,2018,1,59
0,0,0,3
2,2011,0,2
0,0,0,9
0,0,0,2
0,0,0,210
1564,2015,0,88
0,0,0,39
3531,2015,0,19336
0,0,1,35
0,0,0,35
0,0,0,2
0,0,0,81
0,0,0,2
0,0,0,32
0,0,0,4
0,0,0,16
1236,2015,0,550
0,0,1,301
434,2011,0,100
0,0,0,76
3,2015,0,156
0,0,0,45
57,2018,0,10
0,0,0,4
0,0,0,7
0,0,0,2
0,0,0,2
0,0,0,4
0,0,0,391
0,0,0,8
316,2015,0,363
0,0,0,3587
0,0,0,87661
0,0,0,2
0,0,0,2
0,0,0,688
0,0,0,2
0,0,0,821
0,0,1,213
0,0,1,1
0,0,0,6112
12,2017,7,241
0,0,0,2
0,0,0,194
18,2018,0,113
0,0,0,11
122,2014,0,183
0,0,1,87
0,0,0,90
0,0,0,4
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
91,2016,0,36
0,0,0,2
0,0,0,81
0,0,0,5
0,0,0,18
0,0,0,71
0,0,0,4
0,0,0,36
113216,2017,0,1069
0,0,0,24
0,0,0,20
0,0,0,4
3335,2018,0,1597
0,0,0,2667
3,2014,0,319
0,0,0,143
0,0,2,8
0,0,0,801
0,0,0,9
71,2016,0,4
0,0,0,3
0,0,1,13
0,0,2,25
0,0,0,2
0,0,0,49
64,2019,6,55
0,0,0,2
0,0,0,21
0,0,0,38
1012,2015,0,4
29,2018,0,969
0,0,0,45
0,0,0,2
14,2017,0,12
0,0,0,5
0,0,8,794
0,0,0,345
0,0,0,6
0,0,2,99
0,0,0,29
0,0,0,3
0,0,0,314
6,2016,0,2
0,0,0,8
0,0,0,2302
0,0,0,4
0,0,0,369
0,0,0,2
2,2016,0,2
0,0,0,8
2134,2014,0,529
0,0,0,2
0,0,0,3
28621,2014,3,10794
0,0,0,12
0,0,4,438
0,0,1,53
0,0,1,11
857,2017,0,29
0,0,4,252
48,2013,0,2
0,0,0,10
0,0,0,14
0,0,0,199
0,0,0,55
1657,2017,0,4
123,2016,0,1
0,0,0,4
0,0,0,4
0,0,0,21
0,0,0,15
0,0,0,71
0,0,0,71
126,2017,0,63
2763,2015,0,5
0,0,0,20
1512,2019,3,723
0,0,0,9
72,2017,0,8
0,0,0,74
0,0,0,2
22313,2015,0,1932
359,2018,0,484
0,0,0,17
0,0,0,8
0,0,0,42
0,0,0,3
0,0,0,6
0,0,2,109
0,0,0,17
0,0,0,43
186,2015,0,2
0,0,0,33
0,0,0,6
2,2015,0,52
0,0,0,792
0,0,6,959
0,0,0,2
0,0,0,52
574,2012,0,1581
0,0,0,2
0,0,1,12
0,0,0,6
197,2018,0,238
0,0,0,51
23,2015,0,12
2,2017,0,2
0,0,0,20
1,2019,0,163
0,0,0,84
0,0,0,2
0,0,0,145
0,0,0,2
2467,2014,0,9741
2569,2015,5,6810
0,0,0,347
0,0,0,88
0,0,0,97
0,0,0,3
0,0,0,8
0,0,0,5
0,0,0,2
0,0,0,7
0,0,0,357
0,0,0,5
0,0,0,16
0,0,0,4
1077,2017,1,30
0,0,0,13
0,0,0,2
0,0,0,2
0,0,0,2
47236,2014,0,2427
14509,2013,0,7
0,0,0,2
2959,2016,0,19
0,0,0,47
0,0,0,24
0,0,0,3635
0,0,3,566
0,0,3,51
0,0,0,6
0,0,0,229
27,2015,0,71
0,0,1,88
0,0,0,2
0,0,0,21
0,0,0,33
0,0,0,16
0,0,0,2
80,2016,2,37
0,0,0,13530
0,0,0,1
0,0,0,4
0,0,0,6
0,0,0,2
142039,2015,0,44517
0,0,0,6
0,0,0,108
0,0,0,265
17,2016,0,16
0,0,0,62
0,0,0,7
31,2015,0,1128
0,0,0,36
0,0,0,9
0,0,0,69
0,0,0,4
0,0,0,2
0,0,0,2
1818,2018,0,434
0,0,0,157
0,0,1,464
0,0,0,26
3104,2012,0,45
0,0,0,8
871,2014,0,788
0,0,0,506
9,2019,0,2
0,0,0,9
0,0,0,14
0,0,1,10
0,0,0,7
225,2016,34,2701
0,0,0,14
4,2015,0,8
0,0,0,2
0,0,0,1322
0,0,0,38
490,2015,0,10
0,0,0,4
0,0,16,2352
0,0,3,35
0,0,0,27
0,0,0,16
0,0,0,167
0,0,0,4
0,0,0,2
0,0,1,4
0,0,0,2
0,0,0,14
0,0,0,8
125,2014,0,2743
0,0,0,2
0,0,0,11
0,0,0,136
0,0,0,369
0,0,0,3
318,2016,5,75
0,0,0,174
0,0,0,4
0,0,0,60
0,0,3,519
0,0,1,82
0,0,0,14
0,0,0,6
12236,2015,0,425
0,0,0,26
34,2015,0,2
0,0,0,2
0,0,0,268
403,2015,0,401
0,0,12,176
61,2015,0,8
0,0,0,2
63,2014,0,3
0,0,0,2
0,0,0,14
0,0,0,4
1121,2012,0,492
0,0,0,2
0,0,0,2
231,2015,0,8
0,0,0,9114
0,0,2,2030
0,0,0,2
0,0,0,524
0,0,0,2
0,0,0,9
0,0,0,195
0,0,0,61
0,0,0,232
0,0,0,57
0,0,0,321
0,0,0,4
0,0,0,66
0,0,0,38
0,0,0,51
0,0,0,2
0,0,0,28
0,0,0,2
0,0,0,2
2,2017,0,87
0,0,0,6
0,0,0,770
0,0,0,22
0,0,0,3
0,0,0,388
0,0,0,3380
182,2016,0,791
4,2016,0,2
0,0,0,2
0,0,0,98
0,0,1,14
0,0,0,2
0,0,0,38
0,0,0,60
0,0,0,29
0,0,0,367
0,0,0,85
0,0,0,2
0,0,0,2
0,0,0,302
0,0,0,90
0,0,0,526
0,0,0,2
0,0,0,16
0,0,0,683
24,2019,0,308
2125,2017,13,53438
2104,2018,0,1414
0,0,0,266
0,0,0,186
2,2014,0,11
0,0,0,2
0,0,0,37
0,0,0,36
30581,2014,0,24538
1520,2015,2,3098
0,0,0,5
0,0,0,2
10,2017,0,42
356,2014,0,726
0,0,0,15
0,0,2,100
0,0,0,4
2,2017,0,5
0,0,0,32
183,2017,1,13
0,0,0,6
0,0,0,85
0,0,0,140
0,0,0,2
17,2014,0,2480
0,0,1,17
0,0,0,4
0,0,8,190
0,0,0,161
0,0,0,4
4518,2019,9,413
0,0,0,20
0,0,0,2
0,0,0,4
0,0,4,96
0,0,0,2
2766,2015,0,630
0,0,0,108
0,0,1,13
0,0,0,2
0,0,0,2
0,0,3,418
281,2014,0,7308
0,0,0,2
0,0,1,1
0,0,0,6
0,0,0,146
0,0,0,2
0,0,0,11
0,0,0,77
0,0,0,10
0,0,0,4
0,0,0,4
0,0,0,2
0,0,2,260
0,0,0,137
0,0,0,7
0,0,0,2
0,0,0,8
0,0,0,91
0,0,0,5
0,0,0,341
0,0,2,11
25313,2018,4,52440
0,0,1,368
0,0,0,946
0,0,11,1453
0,0,0,100
0,0,0,4
331,2016,0,256
0,0,0,2
0,0,0,141
0,0,6,1802
6,2015,0,117
0,0,0,10
0,0,0,2
0,0,0,74
0,0,0,2
0,0,0,388
0,0,0,2
0,0,0,100
0,0,0,14
0,0,3,4138
0,0,0,312
0,0,0,32
0,0,0,14
0,0,0,2
46005,2017,0,19621
4,2016,0,51
0,0,0,2
0,0,1,1
0,0,1,19
7,2012,0,24139
22,2016,1,149
0,0,0,2
12,2018,0,484
0,0,0,2
0,0,0,6
0,0,0,372
120036,2015,7,1993
18,2018,2,110
356,2018,1,1218
3059,2018,0,16
0,0,0,26
0,0,0,18
0,0,0,69
0,0,0,211
0,0,0,2
0,0,7,98
0,0,0,21
0,0,0,2
0,0,0,179
0,0,0,113
0,0,0,8278
0,0,0,154
0,0,0,2
0,0,0,16
0,0,2,102
0,0,3,304
0,0,0,2
0,0,0,2
14889,2013,0,1066
0,0,0,8
0,0,0,22
0,0,2,10
0,0,0,74
28,2016,0,48
0,0,0,72
0,0,2,3197
0,0,0,1547
0,0,0,105
1,2019,0,94
2,2017,0,2
0,0,0,15
0,0,2,35
37,2018,0,218
15065,2013,0,66
0,0,0,76
0,0,0,5
0,0,0,101
0,0,9,452
0,0,0,140
0,0,1,51
0,0,1,35
0,0,0,2
0,0,0,2
0,0,0,10
0,0,0,2
44,2018,0,2
525,2012,0,137
0,0,0,6
0,0,0,2569
0,0,0,1
0,0,0,39
0,0,0,4
0,0,0,4
15,2017,1,24
0,0,0,2
7523,2014,30,34316
0,0,0,6
2185,2014,0,219
0,0,2,10
32,2012,0,1384
0,0,0,358
0,0,0,3
0,0,0,2
0,0,0,20
0,0,0,194
0,0,0,2
0,0,0,10
0,0,6,115
0,0,6,96
0,0,0,71
0,0,0,70
0,0,0,6
0,0,0,79
177,2014,0,8
0,0,0,38
0,0,0,2
0,0,0,181
0,0,0,200
0,0,0,5
0,0,0,1
0,0,6,62
120,2015,0,8
0,0,0,38
0,0,0,2
0,0,0,30
0,0,2,297
0,0,0,4
0,0,0,2
0,0,15,1039
0,0,0,254
0,0,0,629
0,0,0,16
0,0,0,2
15758,2015,0,22810
0,0,0,2
1896,2014,0,2788
14,2015,0,14
0,0,0,315
0,0,0,1
0,0,0,2
0,0,0,152
2,2019,1,49
25,2019,0,60
0,0,0,25
0,0,1,11
0,0,0,50
0,0,0,5
40,2015,0,29
0,0,0,16
0,0,0,6
0,0,6,259
0,0,0,7
21066,2014,0,52
4061,2014,0,2877
8,2019,0,754
0,0,0,2
0,0,0,28
0,0,2,11
0,0,0,2
0,0,0,90
21,2015,0,2
123,2017,0,2
0,0,0,5
0,0,0,18
0,0,0,3550
550,2015,0,2
0,0,0,498
0,0,0,5
0,0,0,25
0,0,0,40
36,2014,0,54
0,0,0,14
0,0,1,28
0,0,0,12
366,2019,15,5927
0,0,0,126
0,0,0,229
0,0,0,2
0,0,0,83
0,0,3,378
0,0,0,18
0,0,1,8
0,0,0,2
0,0,0,2
0,0,3,2929
0,0,1,8
0,0,0,50
24,2017,0,92
0,0,0,5
0,0,0,113
0,0,0,194
0,0,0,16
0,0,0,1
0,0,0,71
0,0,0,146
0,0,0,12
0,0,0,298
0,0,0,22
0,0,0,4
0,0,0,34
0,0,0,8
0,0,0,6
0,0,0,169
0,0,0,2
0,0,0,36
0,0,0,60
0,0,0,2
26,2017,5,34255
0,0,0,18
0,0,0,2
0,0,0,2
0,0,0,45
0,0,0,51
0,0,0,52
0,0,0,15268
82111,2016,0,3549
0,0,0,34
0,0,0,1
43,2015,0,2
0,0,0,48
0,0,0,137
7902,2015,0,845
0,0,0,14
0,0,0,16
0,0,0,16
0,0,0,4
0,0,1,10
0,0,2,24
0,0,0,1505
0,0,6,221
0,0,0,334
0,0,3,30
0,0,0,18
0,0,0,45
0,0,0,157
515,2016,3,2357
0,0,0,13625
0,0,0,2
0,0,0,42
0,0,0,339
6027,2016,6,868
0,0,0,7
0,0,0,51
11,2015,0,216231
0,0,0,8
0,0,0,4
0,0,55,28578
16545,2017,0,19
0,0,0,1709
0,0,0,49
0,0,0,1545
0,0,0,162
0,0,0,37
0,0,0,17
0,0,0,1
0,0,0,4
0,0,0,1
0,0,0,17
0,0,0,67
0,0,0,212
14,2015,0,1858
0,0,0,2
5915,2013,0,245
0,0,1,238
0,0,0,278
0,0,0,31
0,0,0,13
0,0,0,6
0,0,0,22
0,0,0,2
0,0,0,38
31,2015,1,36
0,0,0,8
192,2014,0,88
132,2015,0,426
0,0,1,2
0,0,1,122
2815,2014,0,70
0,0,0,8
84,2016,0,26
0,0,0,6
0,0,0,16
0,0,2,6
0,0,0,643
0,0,0,24
0,0,0,1534
0,0,0,36
0,0,0,266
0,0,0,2
572,2013,0,317
2,2019,0,2
0,0,0,8
0,0,0,2
0,0,0,6
2,2016,0,2
0,0,0,342
0,0,0,96
0,0,0,26
0,0,0,1
0,0,0,2
0,0,1,8
7,2012,0,6211
0,0,0,35
0,0,0,2
97,2017,0,16
0,0,0,42
0,0,0,91
468,2018,0,20
0,0,0,34
0,0,0,100
0,0,0,884
580,2015,0,908
4208,2014,0,14154
0,0,0,4
0,0,0,2
0,0,0,10
0,0,0,145
0,0,0,90
0,0,0,40
0,0,0,138
0,0,0,5
2,2015,0,2
0,0,0,42
0,0,0,2
0,0,2,90
0,0,1,140
55245,2015,14,15798
0,0,0,21
12,2018,0,2
0,0,0,2
0,0,0,441
33,2014,0,10
0,0,1,41
0,0,0,338
0,0,0,497
0,0,0,2
0,0,0,2
0,0,0,8
0,0,0,2
0,0,0,4
0,0,1,5
0,0,0,3
26425,2014,0,36
0,0,2,36
0,0,0,4
0,0,0,19
149,2017,0,3378
0,0,0,4
0,0,0,37
0,0,0,10
0,0,0,14
0,0,1,70
0,0,0,10
0,0,0,2
0,0,0,16
0,0,0,64
0,0,0,3
0,0,3,35
0,0,0,6
0,0,0,341
0,0,0,7
0,0,0,2
0,0,0,5
0,0,0,2
0,0,1,89
0,0,1,82
0,0,0,2
11,2015,0,4
0,0,1,126
0,0,0,113
380,2018,0,362
2,2014,0,17
0,0,1,889
0,0,0,88
0,0,0,26
0,0,0,2
73983,2018,0,13992
0,0,0,143
634,2015,0,63
4240,2015,0,496
0,0,1,43
0,0,0,13
0,0,0,4
0,0,0,2
0,0,0,2
113,2015,1,166
0,0,0,49
0,0,0,31
0,0,0,2918
0,0,0,4
0,0,0,89
0,0,1,2702
566,2013,0,997
42,2015,0,251
837,2015,0,182
0,0,1,46
0,0,0,1022
0,0,0,6
0,0,1,25
0,0,0,2
46,2018,0,1229
0,0,0,58
0,0,0,2287
0,0,0,46
2459,2018,0,586
0,0,0,2
0,0,0,4
0,0,0,16
0,0,0,13
0,0,0,10
72932,2013,0,7
0,0,0,243
0,0,1,2
0,0,0,4
81,2018,0,552
164,2019,0,79
0,0,0,4
0,0,0,2
0,0,0,4
0,0,1,8
0,0,0,5
0,0,0,18
86,2014,0,24
21,2015,0,762
0,0,0,2
0,0,0,13
0,0,0,4
0,0,0,10
0,0,0,2
0,0,2,4
55,2018,0,30
0,0,0,3
0,0,0,83
0,0,0,2
0,0,0,21
429,2018,0,4
0,0,0,7
0,0,0,34
0,0,0,54
0,0,0,76
0,0,0,322
0,0,0,136
0,0,0,17
0,0,6,25
0,0,0,2
0,0,0,18610
0,0,0,3
149,2016,0,3
0,0,0,3
0,0,1,1300
0,0,0,2
0,0,0,140
0,0,0,13
0,0,0,43
0,0,0,17
0,0,0,237
49,2019,7,108
2,2017,0,131
0,0,0,112
0,0,0,2
0,0,0,316
0,0,0,14
0,0,0,2392
0,0,0,590
4,2016,0,40
0,0,0,16
0,0,0,10
9,2015,0,17
0,0,0,14
0,0,0,7
14,2015,0,3
0,0,0,254
0,0,0,2
2,2016,1,17
0,0,0,4
0,0,1,131
83,2015,0,12
0,0,0,9
4,2012,0,317
607,2015,0,54
0,0,0,2
0,0,0,4
0,0,0,2167
0,0,0,16
0,0,0,86269
149,2018,0,3747
23308,2013,0,3972
3086,2017,2,1143
0,0,0,2
0,0,0,7307
0,0,0,874
0,0,0,21
0,0,3,34
0,0,0,2
0,0,0,2
389,2014,0,23
0,0,0,2
0,0,0,20
0,0,0,1451
82143,2018,3,6580
0,0,0,28
0,0,0,4
2588,2013,0,463
0,0,3,16
0,0,0,2
0,0,0,6
53959,2015,0,47187
41,2016,0,908
0,0,1,245
0,0,0,10
0,0,0,28
0,0,0,2
0,0,0,266
0,0,0,2
0,0,0,100
0,0,0,2
0,0,0,285
0,0,0,44
0,0,0,25
0,0,0,4
0,0,0,41
0,0,0,2
0,0,0,8
0,0,0,17
0,0,0,83
54,2017,0,60
0,0,1,22
0,0,0,4
0,0,0,2
0,0,0,118
0,0,1,34
0,0,0,12
0,0,0,16
1682,2014,0,4825
0,0,0,23
0,0,0,20
1802,2019,28,2459
14866,2014,0,664
0,0,0,10
0,0,3,36
11,2016,0,2
57,2018,0,254
1090,2018,0,25
0,0,0,4
342,2015,0,4
3197,2014,0,3594
0,0,0,2
0,0,0,10
0,0,0,2
30,2019,0,300
0,0,2,128
0,0,0,210
0,0,0,6
0,0,0,489
0,0,0,274
0,0,0,2
0,0,0,2
750,2017,0,19
0,0,0,87
0,0,0,111
46,2016,0,4
0,0,0,4
0,0,0,2
12,2015,0,10
0,0,0,2
0,0,1,383
0,0,1,20
2,2014,0,5
0,0,0,2
282,2017,0,49
0,0,0,7
0,0,0,88
0,0,0,154
0,0,0,16
0,0,0,112
0,0,0,66
0,0,1,1928
0,0,0,211
32,2019,0,43
0,0,0,2
0,0,1,448
0,0,0,122
0,0,2,30
112356,2017,2,37574
988,2016,0,233
0,0,0,100
0,0,0,592
0,0,0,4
0,0,0,206
0,0,0,4
0,0,0,20
0,0,0,4
0,0,0,2586
0,0,0,6
0,0,0,53
16597,2012,0,477
0,0,0,8
2,2018,0,10
0,0,0,13
0,0,0,24
0,0,1,42
0,0,0,148397
0,0,0,10
0,0,0,5684
0,0,0,4
0,0,0,3
0,0,0,2
0,0,0,24
0,0,0,6
0,0,1,62
0,0,0,2
0,0,0,75
0,0,0,85
438,2016,0,2
0,0,0,2
0,0,0,2
0,0,0,4
130,2012,0,1181
2,2016,0,709
0,0,0,12
0,0,0,197
0,0,1,37
0,0,0,371
0,0,0,2
0,0,0,343
0,0,0,10
576,2018,0,222
0,0,0,425
0,0,0,671
0,0,0,7050
637,2015,0,4728
31,2016,0,41
10,2015,0,202
6029,2018,0,217
0,0,0,222
0,0,0,9
0,0,0,4
109607,2014,0,1760
0,0,0,2
318,2019,0,2847
0,0,0,8
0,0,0,18
66,2017,0,223
0,0,0,13
0,0,0,514
0,0,0,57
0,0,0,214
0,0,0,30
0,0,4,40
30,2016,0,114
0,0,0,71
0,0,0,59
0,0,0,45
76,2019,0,67
0,0,0,74
29,2019,0,135
263,2017,1,202
3700,2016,0,296
0,0,0,8
0,0,0,54
0,0,0,42
0,0,5,44
0,0,0,2
0,0,0,7
56,2017,0,85
0,0,0,107
142,2017,4,214
0,0,0,27583
0,0,6,85
0,0,9,5515
0,0,0,118
6,2019,0,131
0,0,0,76
0,0,1,2
0,0,0,6
0,0,0,2
0,0,0,4
0,0,0,82
0,0,0,17
1291,2013,0,2485
0,0,0,50
0,0,0,83
0,0,0,144
0,0,0,6
0,0,0,195
1188,2014,0,8028
0,0,0,174
0,0,0,40
0,0,0,4
0,0,0,16
0,0,0,2
0,0,0,29
0,0,1,277
0,0,0,4
0,0,0,4
0,0,0,170
0,0,0,6
0,0,0,4
0,0,0,2
3045,2014,0,37
0,0,0,53
0,0,0,4
0,0,1,645
0,0,0,197
0,0,0,9
0,0,0,31
0,0,0,6
0,0,0,3
145,2016,0,4
0,0,0,13
20,2017,0,4
0,0,0,12
3087,2019,0,32
3,2016,0,6
0,0,0,66
0,0,0,867
0,0,1,70
0,0,0,20
0,0,0,44
0,0,0,54
0,0,0,64
227,2014,0,2
174,2016,0,2506
61,2014,0,50
0,0,0,18
0,0,0,2
0,0,0,184
0,0,0,2
0,0,0,29
0,0,0,2
0,0,0,41
0,0,2,16
0,0,0,454
115,2016,3,157
0,0,0,4
0,0,0,42
0,0,0,2
26,2016,1,66
0,0,0,10
0,0,0,2
0,0,0,13
0,0,4,61
0,0,0,42888
0,0,0,47
0,0,0,83
0,0,0,11
0,0,0,42
0,0,0,2
68,2014,0,1138
152,2019,0,56
0,0,0,27
0,0,1,14
0,0,0,334
