open,additions,labels,,,,,,,Pr_number
2015-08-05T19:09:51Z,99,"A-docs,A-docs",,,,,,,27533
2015-08-05T19:09:51Z,10,"A-debuginfo,A-debuginfo",,,,,,,27534
2015-08-05T19:09:51Z,109,"A-docs,A-docs",,,,,,,27536
2015-08-05T19:09:51Z,89,"A-docs,A-docs",,,,,,,27538
2015-08-05T19:09:51Z,521,NULL,,,,,,,27539
2015-08-05T19:09:51Z,1289,NULL,,,,,,,27540
2015-08-05T20:08:20Z,2,A-docs,,,,,,,27542
2015-08-06T06:12:57Z,1062,NULL,,,,,,,27544
2015-08-09T15:45:58Z,46,NULL,,,,,,,27546
2015-08-10T04:29:16Z,273,"A-resolve;I-wrong;P-low,A-resolve;I-wrong;P-low",,,,,,,27547
2015-08-10T19:21:46Z,391,NULL,,,,,,,27557
2015-08-11T02:22:02Z,200,NULL,,,,,,,27565
2015-08-11T02:48:51Z,22,NULL,,,,,,,27571
2015-08-11T07:56:48Z,164,"I-nominated;T-compiler,I-nominated;T-compiler",,,,,,,27582
2015-08-11T07:56:48Z,97,"A-diagnostics;A-parser;A-syntaxext;I-cleanup,A-diagnostics;A-parser;A-syntaxext;I-cleanup",,,,,,,27584
2015-08-11T07:56:48Z,38,NULL,,,,,,,27586
2015-08-11T07:56:48Z,2,A-libs;B-RFC-approved,,,,,,,27588
2015-08-11T07:56:48Z,54,A-diagnostics;E-easy,,,,,,,27596
2015-08-11T07:56:48Z,4,NULL,,,,,,,27605
2015-08-11T07:56:48Z,304,"A-io,A-io;A-libs",,,,,,,27609
2015-08-11T13:00:39Z,0,A-concurrency;A-libs,,,,,,,27615
2015-08-11T13:00:39Z,55,NULL,,,,,,,27617
2015-08-11T13:00:39Z,6,A-libs,,,,,,,27624
2015-08-11T18:40:13Z,6,NULL,,,,,,,27625
2015-08-11T19:16:21Z,127,NULL,,,,,,,27634
2015-08-11T19:58:56Z,29,NULL,,,,,,,27638
2015-08-11T21:15:03Z,15,NULL,,,,,,,27641
2015-08-12T01:40:48Z,122,NULL,,,,,,,27644
2015-08-12T01:40:48Z,1,NULL,,,,,,,27647
2015-08-12T05:52:46Z,21,beta-nominated,,,,,,,27649
2015-08-12T08:38:02Z,2,NULL,,,,,,,27650
2015-08-12T17:00:53Z,8,A-libs;E-easy;E-mentor;I-slow,,,,,,,27652
2015-08-12T17:00:53Z,3,B-unstable;E-easy;final-comment-period;T-libs,,,,,,,27655
2015-08-12T17:11:56Z,8,T-libs,,,,,,,27657
2015-08-12T19:49:45Z,373,beta-nominated,,,,,,,27658
2015-08-13T16:48:59Z,192,NULL,,,,,,,27662
2015-08-14T13:47:30Z,221,"I-needs-decision;T-libs,I-needs-decision;T-libs",,,,,,,27668
2015-08-14T19:07:15Z,168,NULL,,,,,,,27672
2015-08-14T19:20:35Z,22,NULL,,,,,,,27674
2015-08-14T19:27:54Z,45,"A-windows,relnotes",,,,,,,27676
2015-08-16T14:51:31Z,161,NULL,,,,,,,27682
2015-08-17T13:36:34Z,3,NULL,,,,,,,27689
2015-08-17T17:34:26Z,4,"A-windows,A-windows",,,,,,,27690
2015-08-17T21:33:18Z,4,"A-macros;I-ICE,A-macros;I-ICE",,,,,,,27691
2015-08-18T00:06:54Z,4182,NULL,,,,,,,27698
2015-08-18T14:03:57Z,6,NULL,,,,,,,27699
2015-08-18T17:45:19Z,6,NULL,,,,,,,27757
2015-08-18T17:49:11Z,2,NULL,,,,,,,27758
2015-08-18T17:54:09Z,3,B-unstable;T-libs,,,,,,,27760
2015-08-18T17:59:13Z,27,NULL,,,,,,,27803
2015-08-18T19:03:12Z,76,"A-allocators;I-slow,A-libs;I-slow",,,,,,,27807
2015-08-18T22:37:58Z,0,"B-unstable;T-libs,B-unstable;T-libs",,,,,,,27808
2015-08-19T15:34:34Z,1,NULL,,,,,,,27816
2015-08-20T17:33:10Z,1,A-libs,,,,,,,27818
2015-08-20T17:33:10Z,2,I-compiletime;T-compiler,,,,,,,27822
2015-08-21T10:21:51Z,2,A-macros,,,,,,,27827
