Month,A-NLL,A-allocators,A-amusing,A-associated-items,A-async-await,A-attributes,A-bitrig,A-bsd,A-build,A-closures,A-codegen,A-collections,A-concurrency,A-const-fn,A-debuginfo,A-destructors,A-diagnostics,A-docs,A-dragonflybsd,A-dst,A-edition-2018-lints,A-frontend,A-hir,A-infrastructure,A-io,A-iterators,A-lang,A-libs,A-lifetimes,A-linkage,A-lint,A-linux,A-llvm,A-macros,A-macros-1.2,A-mir,A-openbsd,A-parallel-queries,A-parser,A-plugin,A-resolve,A-runtime,A-rust-2018-preview,A-rustbuild,A-rustdoc,A-save-analysis,A-stability,A-syntaxext,A-testsuite,A-tools,A-traits,A-typesystem,A-unicode,A-windows,A-x86_64,T-compiler,T-core,T-dev-tools,T-dev-tools-rustdoc,T-doc,T-infra,T-lang,T-libs,T-release,T-rustdoc,Unlabeled
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,454,0,3195,0,0,0,4337,1160,45,82,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,247,72,5,0,247,89,0,0,0,0,0,0,0,0,0,0,0,0,29296
2014-04,0,0,0,0,0,0,0,0,299,0,0,0,0,0,512,0,243,279,0,0,0,0,0,0,89,0,0,15097,0,0,61,0,0,0,0,0,0,0,0,0,547,284,0,0,2048,0,0,343,163,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,24408
2014-05,0,0,0,0,0,0,0,0,6,0,640,0,0,0,636,0,3454,235,0,0,0,426,0,0,217,0,0,18005,54,746,651,0,37,0,0,0,0,0,109,0,113,787,0,0,327,0,0,0,0,0,1111,0,0,563,0,0,0,0,0,0,0,0,0,0,0,43152
2014-06,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,3,928,4,0,0,0,0,0,0,0,0,0,648,0,28,582,0,0,0,0,0,0,0,0,0,160,0,0,0,210,0,0,0,0,0,7306,2613,0,6,0,0,0,0,0,0,0,0,0,0,0,35457
2014-07,0,0,0,0,0,0,0,0,5528,0,794,0,0,0,206,0,0,11,0,0,0,0,0,143,0,0,0,2131,279,212,263,0,0,0,0,0,0,0,0,0,34,0,0,0,2108,0,0,299,0,0,0,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,11620
2014-08,0,0,0,0,0,0,0,0,727,65,129,0,0,0,72,0,0,2157,0,24,0,0,0,19,0,0,0,10418,35,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,106,0,0,1243,0,0,0,0,0,4576,0,0,0,0,0,0,0,0,0,0,0,19392
2014-09,0,0,0,0,0,0,0,0,26,358,0,0,17,0,11,192,162,78,0,419,0,0,0,61,9,0,0,2726,78,6,143,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,8896,142,0,440,0,0,0,0,0,0,0,0,0,0,0,14319
2014-10,0,0,0,0,0,0,0,0,0,434,139,0,0,0,0,0,0,663,0,128,0,0,0,0,0,0,0,4389,0,274,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,726,0,0,11,52,0,0,15265,0,0,0,0,0,0,0,0,0,0,0,0,0,38910
2014-11,0,0,0,0,0,0,0,0,6,153,0,0,0,0,0,0,358,123,0,1014,0,0,0,1,174,0,0,22299,0,0,96,132,0,0,0,0,0,0,833,0,0,0,0,0,274,0,0,0,89,0,0,8602,0,4,0,0,0,0,0,0,0,0,0,0,0,33446
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,213,122,1803,0,464,0,0,0,0,0,0,0,18823,758,0,313,0,53,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,881,0,6878,0,0,0,0,0,0,0,0,0,0,0,0,0,48016
2015-01,0,0,0,2259,0,0,0,0,160,0,425,0,0,0,120,0,1118,1385,0,0,0,0,0,7582,398,0,0,8448,0,0,142,0,0,76,0,0,0,0,173,0,0,0,0,0,2,0,0,364,2912,0,71,5680,0,15,0,0,0,0,0,0,0,0,0,0,0,37388
2015-02,0,0,0,3862,0,0,0,0,42,1548,0,0,0,0,299,0,66,5861,0,0,0,68,0,0,185,0,0,1265,0,340,4748,0,0,40,0,0,0,0,34,321,0,0,0,0,0,0,0,1393,1178,0,0,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,45199
2015-03,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,1780,0,0,0,0,0,0,0,0,0,29408,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,4,0,0,0,8,0,0,119,0,56,0,0,0,0,0,0,0,0,0,0,0,32932
2015-04,0,0,0,0,0,0,0,0,171,0,0,0,0,0,6658,0,0,657,0,378,0,0,0,0,4167,0,0,5171,0,0,125,728,0,0,0,0,0,0,509,0,652,0,0,0,0,0,0,196,1161,0,70,24,0,5,0,0,0,0,0,0,0,0,0,0,0,19659
2015-05,0,0,0,348,0,0,0,0,9,0,0,0,0,0,0,0,0,167,0,0,0,2,0,0,0,0,0,702,0,52,0,0,69,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2987,0,0,0,0,0,0,1,0,0,0,0,0,240,334,0,0,8013
2015-06,0,0,0,0,0,0,0,0,576,42,1031,0,0,0,80,0,270,1916,0,0,0,0,0,240,0,0,0,2695,0,0,120,0,0,0,0,0,0,0,126,0,151,0,0,0,225,0,0,0,270,43,0,0,0,998,0,34,0,0,0,0,0,0,194,0,0,9830
2015-07,0,0,0,45,0,0,0,1,112,0,22,0,0,0,47,0,396,665,0,0,0,0,0,0,0,0,0,1963,0,541,0,0,0,0,0,0,0,0,68,0,46,0,0,0,7,0,0,0,0,7,0,571,0,53,0,762,0,0,0,0,0,111,0,0,0,16975
2015-08,0,804,206,0,0,0,0,0,0,0,0,0,0,0,188,0,9,497,0,0,0,562,0,0,23,0,0,1890,0,0,0,0,72,52,0,0,0,0,0,0,153,0,0,0,479,0,0,0,0,0,0,0,0,1600,0,5509,0,0,0,0,0,92,2357,0,0,6283
